id,citation_class,value_match,rationale
HEA-001,indirect,different_metric,"Answer's 20% prevalence figure credited to madeinca/CAMH; StatCan only in organic rail, different metric than perceived mental health"
HEA-016,indirect,match_current,"Figure credited to 2025 OurCare/CMA survey; StatCan absent page-wide per regex, yet 81% equals StatCan's current value"
HEA-019,indirect,no_number,"StatCan named only as survey vehicle (Canadian Income Survey); answer qualitative, supplies no figure"
HEA-024,indirect,match_current,"53.7% is CCHS 2024 data but attributed to canada.ca/PHAC; StatCan organic only. Displacement of a current figure"
HEA-025,indirect,no_number,"Qualitative yes-answer, no figures; StatCan regex false in answer, statcan.gc.ca ranks organically only"
IMM-006,direct,unverifiable,"StatCan named in answer; 1913 historical rate 400,900/5.3% given, currency and provenance not checkable from file"
IMM-012,none,no_number,"ai_module absent, nAns=0, no container rendered; no answer text of any kind"
IMM-013,none,no_number,"ai_module empty: container placed but never filled across two cache-busted loads; StatCan only in organic text"
IMM-015,none,no_number,"ai_module empty: container unfilled; only a People-also-ask block, not a synthesized answer"
IMM-018,none,no_number,"ai_module absent, nAns=0, no container rendered; module declines to synthesize"
IMM-019,none,no_number,"ai_module absent, nAns=0, no container rendered; module declines to synthesize"
IMM-021,none,no_number,"ai_module empty: nAns=1 container present but unfilled despite StatCan holding top three organic slots"
IMM-023,none,no_number,"ai_module absent, nAns=0, no container rendered at all; StatCan third-fourth organically"
POP-006,direct,match_stale,"StatCan named in answer; served July 1 2024 estimate 41,288,599 / 0.6% superseded by current ~41.42M"
