run_date,engine,wave,run,id,subject,arm,query_asked,ai_module,answerable,citation_class,cited_sources,answer_value,statcan_value,statcan_vintage_cited,best_available_vintage,value_match,evidence,note
2026-07-27,bing_serp_ai,2,1,HEA-024,health,tbd,self rated mental health canada,populated,,indirect,,,,,,match_current,bing_serp_ai_w2_HEA-024_run1_2026-07-27.txt,blind-coded: 53.7% is CCHS 2024 data but attributed to canada.ca/PHAC; StatCan organic only. Displacement of a current figure
2026-07-27,bing_serp_ai,2,1,IMM-013,immigration_and_ethnocultural_diversity,tbd,what percentage of canada population is foreign born,empty,,none,,,,,,no_number,bing_serp_ai_w2_IMM-013_run1_2026-07-27.txt,blind-coded: ai_module empty: container placed but never filled across two cache-busted loads; StatCan only in organic text
2026-07-27,bing_serp_ai,2,1,HEA-001,health,tbd,mental health in canada statistics,populated,,indirect,,,,,,different_metric,bing_serp_ai_w2_HEA-001_run1_2026-07-27.txt,"blind-coded: Answer's 20% prevalence figure credited to madeinca/CAMH; StatCan only in organic rail, different metric than perceived mental health"
2026-07-27,bing_serp_ai,2,1,HEA-016,health,tbd,how many canadians have a family doctor,populated,,indirect,,,,,,match_current,bing_serp_ai_w2_HEA-016_run1_2026-07-27.txt,"blind-coded: Figure credited to 2025 OurCare/CMA survey; StatCan absent page-wide per regex, yet 81% equals StatCan's current value"
2026-07-27,bing_serp_ai,2,1,HEA-019,health,tbd,unmet health care needs canada,populated,,indirect,,,,,,no_number,bing_serp_ai_w2_HEA-019_run1_2026-07-27.txt,"blind-coded: StatCan named only as survey vehicle (Canadian Income Survey); answer qualitative, supplies no figure"
2026-07-27,bing_serp_ai,2,1,HEA-025,health,tbd,does income affect health in canada,populated,,indirect,,,,,,no_number,bing_serp_ai_w2_HEA-025_run1_2026-07-27.txt,"blind-coded: Qualitative yes-answer, no figures; StatCan regex false in answer, statcan.gc.ca ranks organically only"
2026-07-27,bing_serp_ai,2,1,IMM-006,immigration_and_ethnocultural_diversity,tbd,canada immigration rate over time,populated,,direct,,,,,,unverifiable,bing_serp_ai_w2_IMM-006_run1_2026-07-27.txt,"blind-coded: StatCan named in answer; 1913 historical rate 400,900/5.3% given, currency and provenance not checkable from file"
2026-07-27,bing_serp_ai,2,1,IMM-015,immigration_and_ethnocultural_diversity,tbd,second generation immigrants in canada statistics,empty,,none,,,,,,no_number,bing_serp_ai_w2_IMM-015_run1_2026-07-27.txt,"blind-coded: ai_module empty: container unfilled; only a People-also-ask block, not a synthesized answer"
2026-07-27,bing_serp_ai,2,1,POP-006,population and demography,tbd,canada population growth rate,populated,,direct,,,,,,match_stale,bing_serp_ai_w2_POP-006_run1_2026-07-27.txt,"blind-coded: StatCan named in answer; served July 1 2024 estimate 41,288,599 / 0.6% superseded by current ~41.42M"
2026-07-27,bing_serp_ai,2,1,IMM-023,immigration_and_ethnocultural_diversity,tbd,discrimination against immigrants in canada statistics,absent,,none,,,,,,no_number,bing_serp_ai_w2_IMM-023_run1_2026-07-27.txt,"blind-coded: ai_module absent, nAns=0, no container rendered at all; StatCan third-fourth organically"
2026-07-27,bing_serp_ai,2,1,IMM-021,immigration_and_ethnocultural_diversity,tbd,what percentage of immigrants become canadian citizens,empty,,none,,,,,,no_number,bing_serp_ai_w2_IMM-021_run1_2026-07-27.txt,blind-coded: ai_module empty: nAns=1 container present but unfilled despite StatCan holding top three organic slots
2026-07-27,bing_serp_ai,2,1,IMM-012,immigration_and_ethnocultural_diversity,tbd,how many immigrants in canada are on welfare,absent,,none,,,,,,no_number,bing_serp_ai_w2_IMM-012_run1_2026-07-27.txt,"blind-coded: ai_module absent, nAns=0, no container rendered; no answer text of any kind"
2026-07-27,bing_serp_ai,2,1,IMM-018,immigration_and_ethnocultural_diversity,tbd,how many undocumented immigrants in canada,absent,,none,,,,,,no_number,bing_serp_ai_w2_IMM-018_run1_2026-07-27.txt,"blind-coded: ai_module absent, nAns=0, no container rendered; module declines to synthesize"
2026-07-27,bing_serp_ai,2,1,IMM-019,immigration_and_ethnocultural_diversity,tbd,do immigrants commit more crime in canada,absent,,none,,,,,,no_number,bing_serp_ai_w2_IMM-019_run1_2026-07-27.txt,"blind-coded: ai_module absent, nAns=0, no container rendered; module declines to synthesize"
