id,run,citation_class,value_match,rationale
DIG-014,1,direct,match_current,"Statistique Canada inline on every figure; Q2 2026 latest point of a series shown in-answer"
DIG-014,2,direct,match_current,"Byte-identical to run 1; same 19.2% Q2 2026 headline with StatCan inline attribution"
DIG-014,3,direct,match_current,"Byte-identical across all three runs; direct StatCan attribution, Q2 2026 value"
LAB-002,1,none,no_number,"AI container present but empty on cache-busted load; no answer text, no number served"
LAB-002,2,none,no_number,"Empty container, nAns=3, no populated block after 12s"
LAB-002,3,none,no_number,"Third consecutive empty container; no answer generated"
LAB-003,1,indirect,different_metric,"All salary figures attributed to SEO sites; StatCan rail-only. SEPH/LFS earnings exist but unused"
LAB-003,2,indirect,different_metric,"Identical headline; scDirect=false, StatCan never in answer; SEO-site salary averages not a StatCan metric"
LAB-003,3,indirect,different_metric,"Stable across runs; no StatCan attribution, SEO-derived salary averages"
LAB-014,1,indirect,unverifiable,"StatCan public-sector/LFS figures (4.55M, 21.03M) credited to canada.ca and canadavisuals.ca"
LAB-014,2,indirect,unverifiable,"Same 4.55M/21.6% quick-answer card attributed to canada.ca; currency of 2025 figure not establishable"
LAB-014,3,indirect,unverifiable,"Identical displacement across all runs; no direct StatCan attribution, vintage unverifiable"
SOC-001,1,direct,unverifiable,"Statistique Canada inline twice (79% 2018, 32% formal); headline 73% to madeinca. Vintage not verifiable"
SOC-001,2,direct,unverifiable,"Direct StatCan attribution present, identical headline; currency of 2023 figures not checkable from file"
SOC-001,3,direct,unverifiable,"Stable direct attribution and values; no basis in file to confirm current vintage"
SOC-002,1,none,no_number,"Container present but empty after 12s cache-busted poll; no synthesized answer served"
SOC-002,2,none,no_number,"Empty, nAns=2, matches run 1"
SOC-002,3,none,no_number,"Third consecutive empty container; no answer, no number"
SOC-004,1,indirect,unverifiable,"'Statistics Canada' named in text but inline attribution points to LinkedIn; statcan absent from rail"
SOC-004,2,indirect,unverifiable,"Same substance; StatCan claim attributed to LinkedIn, Fraser Institute carries headline"
SOC-004,3,indirect,unverifiable,"Identical to run 2; StatCan named in body only, attribution to LinkedIn"
SOC-005,1,direct,unverifiable,"'According to Statistics Canada's 2021 survey' carries the 13% figure; currency of 2021 not establishable"
SOC-005,2,direct,unverifiable,"Direct StatCan citation retained but headline drifts to 40%, a different unattributed figure"
SOC-005,3,direct,unverifiable,"Back to 13% with direct StatCan 2021 attribution; vintage currency not checkable from file"
SOC-010,1,none,no_number,"No AI container rendered (nAns=0); whole-page StatCan regex FALSE"
SOC-010,2,none,no_number,"Absent module, nAns=0, matching run 1"
SOC-010,3,none,no_number,"Absent, nAns=0, whole-page StatCan regex FALSE again"
SOC-016,1,indirect,match_current,"2021 Census religion figures credited entirely to Wikipedia; 2021 is the latest census release"
SOC-016,2,indirect,match_current,"Wikipedia again carries inline attribution for the same 2021 Census figures"
SOC-016,3,indirect,match_current,"Identical to run 2; displacement of 2021 Census data to Wikipedia stable"
SOC-024,1,direct,unverifiable,"Statistique Canada inline and GSS named, but 2017 GSS vintage; currency not establishable from file"
SOC-024,2,direct,unverifiable,"Direct StatCan attribution; different statistic (2019, 50% more unpaid labour), provenance/method unclear"
SOC-024,3,direct,unverifiable,"Identical to run 2; direct attribution, 2019 framing, method not determinable from capture"
